"","totalmoosena","SurveyID","SurveyName","Surveyyear","ID","Intid","Stratname","Counted","GMU","AreaMi","centrlat","centrlon","YBULL_SF","YBULL_GTSF","BULL_30_40","BULL_41_50","BULL_GT_50","COW_W_0","COW_W_1","COW_W_2","CALF","UNKNOWN","totalmoose","TotalAdults","TotalCows","TotalBulls","TotalCalves","datecounted","searchmin","comments","ELEV_MEAN","prp_burn_1_30","prp_burn_31_60","prop.cov.1","prop.cov.2","prop.cov.3","prop.cov.4","prop.cov.5","prop.cov.6","prop.cov.7","prop.cov.6_7","prop.cov.8","prop.cov.9","prop.cov.10","prop.cov.11","prop.cov.12","prop.cov.13","prop.cov.14","prop.cov.15","prop.cov.99","stratfact","xcoords","ycoords"
"26",NA,676,"20E TAYLOR CORRIDOR",2014,"6406-14255",NA,"LOW",0,"20E",5.826,64.1167,-142.9583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,966.4,0.247555622,0,0.032271534,NA,NA,0.517955142,0.032808399,0.043903603,0.000119303,0.044022906,0.034120735,0.010796946,0.047184443,0.275590551,NA,NA,0.005249344,NA,NA,"LOW",68.4158335393622,166.63006825638
"27",NA,676,"20E TAYLOR CORRIDOR",2014,"6408-14255",NA,"HIGH",0,"20E",5.819,64.15,-142.9583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,936.4,0.343800215,0,0.008240282,NA,NA,0.319579626,0.222547322,0.060130173,NA,0.060130173,0.092494178,0.059115065,0.03958918,0.198125037,5.97e-05,NA,0.000119424,NA,NA,"HIGH",68.4491296531592,170.340832764451
"28",NA,676,"20E TAYLOR CORRIDOR",2014,"6410-14255",NA,"HIGH",0,"20E",5.812,64.1833,-142.9583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1206.375,0.202959776,0,0.013393925,NA,NA,0.131248505,0.242585506,0.164852906,0.000478354,0.16533126,0.166048792,0.059315953,0.093458503,0.107390576,NA,NA,0.021226979,NA,NA,"HIGH",68.4824352975781,174.051614382792
"29",NA,676,"20E TAYLOR CORRIDOR",2014,"6342-14250",NA,"HIGH",0,"20E",5.909,63.7167,-142.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,927.6875,0.999995029,0,0.014992063,0.000352754,0.00123464,0.177905815,0.202069493,0.184784526,NA,0.184784526,0.17461344,0.008701276,0.066611794,0.164501146,NA,NA,0.004233053,NA,NA,"HIGH",72.1322750933871,122.023548094513
"30",NA,676,"20E TAYLOR CORRIDOR",2014,"6344-14250",NA,"HIGH",0,"20E",5.902,63.75,-142.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,863.3125,0.999987698,0,0.025314965,5.89e-05,0.005416225,0.2320146,0.078653008,0.153832568,NA,0.153832568,0.140115389,0.008948546,0.112739903,0.234840457,NA,NA,0.008065466,NA,NA,"HIGH",72.1606180583028,125.734136190497
"31",NA,676,"20E TAYLOR CORRIDOR",2014,"6346-14250",NA,"HIGH",0,"20E",5.895,63.7833,-142.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,728.7143,0.999998546,0,0.003064412,NA,0.000235724,0.016206023,0.514231835,0.227473628,NA,0.227473628,0.152631269,0.001001827,0.026342153,0.054864753,NA,0.001473275,0.001296482,0.00117862,NA,"HIGH",72.1889692803582,129.444741628317
"32",10,676,"20E TAYLOR CORRIDOR",2014,"6348-14250",NA,"HIGH",1,"20E",5.888,63.8167,-142.875,0,0,0,0,0,4,3,0,0,0,10,7,7,0,3,NA,NA,NA,706.6,0.999986554,0,0.006845273,NA,0.000118022,0.0048389,0.580904048,0.228667532,NA,0.228667532,0.069219875,0.010031866,0.003717691,0.050631417,NA,0.008674613,0.008556592,0.02779417,NA,"HIGH",72.2174139259187,133.166507430022
"33",NA,676,"20E TAYLOR CORRIDOR",2014,"6350-14250",NA,"HIGH",0,"20E",5.882,63.85,-142.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,687.1875,1,0,0.032427643,NA,0.000531601,0.026048435,0.282043709,0.423626698,NA,0.423626698,0.039220319,0.00998228,0.008800945,0.142705257,NA,0.011754282,0.006261075,0.016597755,NA,"HIGH",72.2457816581202,136.877147557433
"34",1,676,"20E TAYLOR CORRIDOR",2014,"6352-14250",NA,"HIGH",1,"20E",5.875,63.8833,-142.875,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,NA,NA,NA,685.1334,0.460053464,0,0.049151239,NA,0.000177441,0.063760573,0.168214349,0.489856273,NA,0.489856273,0.01691607,0.002011001,0.00224759,0.179984622,NA,0.008339741,0.00183356,0.017507541,NA,"HIGH",72.2741576185689,140.587804980537
"35",NA,676,"20E TAYLOR CORRIDOR",2014,"6354-14250",NA,"HIGH",0,"20E",5.868,63.9167,-142.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,710.8666,0.068487948,0,0.070113105,NA,0.000118434,0.114525967,0.146917747,0.435838219,NA,0.435838219,0.012968556,0.002783206,0.007342927,0.205661159,NA,0.001717297,0.000947474,0.001065909,NA,"HIGH",72.3026270477799,144.309622877205
"36",NA,676,"20E TAYLOR CORRIDOR",2014,"6402-14250",NA,"HIGH",0,"20E",5.84,64.05,-142.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1029.8125,0.273885453,0.007883232,0.062176474,NA,0.000416493,0.56482418,0.042958291,0.087701553,0.000297495,0.087999048,0.017790206,0.015826739,0.066757898,0.131076337,NA,NA,0.010174332,NA,NA,"HIGH",72.4163312045558,159.163637791854
"37",40,676,"20E TAYLOR CORRIDOR",2014,"6404-14250",NA,"HIGH",1,"20E",5.833,64.0833,-142.875,0,2,4,3,3,18,5,0,0,0,40,35,23,12,5,NA,NA,NA,946.7333,0.884293806,0,0.001012749,NA,5.96e-05,0.157154772,0.340998451,0.103776957,0.000119147,0.103896104,0.205111402,0.022042178,0.035029191,0.132074348,NA,NA,0.002621232,NA,NA,"HIGH",72.4447563812424,162.874398767849
"38",15,676,"20E TAYLOR CORRIDOR",2014,"6406-14250",NA,"HIGH",1,"20E",5.826,64.1167,-142.875,1,0,1,1,1,7,2,0,0,0,15,13,9,4,2,NA,NA,NA,990.3333,0.870584542,0,0.022242099,NA,0.000357782,0.525641026,0.154263566,0.076267144,0.001371497,0.077638641,0.060286225,0.011031604,0.021705426,0.123196184,NA,NA,0.003637448,NA,NA,"HIGH",72.4732751163377,166.596320434878
"39",NA,676,"20E TAYLOR CORRIDOR",2014,"6408-14250",NA,"HIGH",0,"20E",5.819,64.15,-142.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,979.6,0.71094051,0,0.014032364,NA,0.001074819,0.39421986,0.223562429,0.082581955,0.000179137,0.082761092,0.121275452,0.021197826,0.009076252,0.130948827,NA,NA,0.001851078,NA,NA,"HIGH",72.5017166292994,170.307115821234
"40",NA,676,"20E TAYLOR CORRIDOR",2014,"6410-14250",NA,"HIGH",0,"20E",5.812,64.1833,-142.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,994.9333,0.276514101,0,0.027439024,NA,NA,0.595289335,0.071317551,0.040829747,0.00035868,0.041188427,0.031623625,0.009684362,0.021819703,0.201219512,NA,NA,0.00041846,NA,NA,"HIGH",72.5301662836606,174.017928363556
"41",19,676,"20E TAYLOR CORRIDOR",2014,"6342-14245",NA,"HIGH",1,"20E",5.909,63.7167,-142.7917,2,1,2,3,0,5,3,0,0,0,19,16,8,8,3,NA,NA,NA,780.8125,0.978181912,0,0.000411644,NA,NA,0.137665393,0.080446927,0.198294619,NA,0.198294619,0.183181417,0.006351073,0.200882094,0.189356072,NA,NA,0.003410762,NA,NA,"HIGH",76.2479519931291,121.994798085388
