pred,se,lb,ub,truetotal,sp_de,sp_ie,sp_range,t_de,t_ie,t_range,spt_de,spt_ie,Intercept,resp_type_sim,betavec_sim,sp_de_sim,sp_range_sim,sp_ie_sim,t_de_sim,t_range_sim,t_ie_sim,spt_ie_sim,spt_de_sim,n_sim,sim_time,samp_time,fit_time,pred_time,pred_sptot,se_sptot,lb_sptot,ub_sptot,pred_srs,se_srs,lb_srs,ub_srs,conf_ind,conf_ind_sptot,conf_ind_srs,seed
132.17425994027153,12.83855756198906,111.05671196960856,153.2918079109345,132.59578889068217,5.399558504581712e-4,1.5672373639688138e-4,4.468124271501578,2.2504355950890406e-5,4.928353385730506e-4,0.4889134450019126,0.008239675683278384,1.320900856931558,1.329780473041491,lognormal,0,0,1e-10,0,0,1e-10,0,0.693000693000693,0,250,0.553026676177979,0.0193686485290527,72.9892563819885,0.237546920776367,132.31865956899782,21.321870255276767,97.2473039462171,167.39001519177853,132.318659568998,21.321870255276778,97.24730394621726,167.39001519177873,1,1,1,206998667
125.19256981585588,8.76121397409127,110.78165523407392,139.60348439763783,132.59578889068217,1.0829280978681071e-5,6.391707461871808e-4,3.546028652442815,2.801705858687398e-4,1.8656288329085407e-4,1.4833893553904325,0.030538896312868987,1.1941080848853711,1.2800646669881264,lognormal,0,0,1e-10,0,0,1e-10,0,0.693000693000693,0,500,0.728509902954102,0.0256974697113037,78.0704102516174,0.560423612594604,131.24984176755288,8.70763162671664,116.92706230419066,145.5726212309151,125.51982206440945,9.449093108035326,109.97744699425539,141.06219713456352,1,1,1,206998667
87.40377559080915,14.335175477899806,63.82451021299984,110.98304096861845,89.0715788910946,1.3268688741958432e-4,0.0014767975668784274,2.3064834555780926,0.0034592506421906,0.0072910306659429505,0.15635940956328376,0.6326751059549383,0.4556843524257231,1.2208840197911253,lognormal,0,0,1.4142135623730951,0,0,1e-10,0,0.17325017325017325,0.5197505197505198,250,0.840538501739502,0.0297975540161133,125.391597747803,0.234158992767334,85.0251860140603,7.482484314748456,72.71759455033879,97.3327774777818,85.62968177736731,7.715541524518274,72.93874531686873,98.32061823786589,1,1,1,206998667
86.36625661266528,6.656993215780502,75.41647717709738,97.31603604823319,89.0715788910946,0.0012294036011919825,0.0059597258697446295,0.7833142478563887,0.001170212006684828,0.016124090570426866,0.04169928147773771,0.8280899312475738,0.16848518335413054,1.1675969469274041,lognormal,0,0,1.4142135623730951,0,0,1e-10,0,0.17325017325017325,0.5197505197505198,500,0.624840497970581,0.0195469856262207,111.742444515228,0.425784826278687,85.351570485949,3.970799112922638,78.8201871631625,91.8829538087355,80.83341406873463,5.069969895342303,72.49405569784606,89.17277243962319,1,1,1,206998667
87.44205800729677,7.231743612298221,75.54689829742489,99.33721771716864,84.04494430876059,1.041294738409044e-4,2.90992626580703e-5,5.604779882937535,0.0033310300945589154,0.13110966588275563,0.08650035190358951,0.10827298717364393,0.1359513929512572,0.990199198605855,lognormal,0,0,1.4142135623730951,0,0,1e-10,0.5197505197505198,0.08662508662508663,0.08662508662508663,250,0.572433471679688,0.0197460651397705,107.25385761261,0.229785442352295,87.19295191091334,5.016047766753982,78.94228754880622,95.44361627302045,86.73782797902345,5.370346049740883,77.90439480112265,95.57126115692425,1,1,1,206998667
83.84228932399623,3.3242591838520523,78.37436954851043,89.31020909948202,84.04494430876059,3.705505352436123e-5,9.921163055802437e-5,5.642937092428653,1.677193894381172e-4,0.0025921075871430826,0.0841649623734543,0.15922447321373603,0.1083562715128108,0.9687738676166459,lognormal,0,0,1.4142135623730951,0,0,1e-10,0.5197505197505198,0.08662508662508663,0.08662508662508663,500,0.626240253448486,0.0355846881866455,76.2932736873627,0.861979722976685,84.39540813354394,2.288789926277181,80.63068372197692,88.16013254511095,82.43730221089473,2.58918967129815,78.17846418919467,86.69614023259479,1,1,1,206998667
93.63292364305181,18.02680603448114,63.981466354884816,123.2843809312188,82,0.043178842877037764,0.031578800001538135,1.0738901504716452,0.03327931839630095,0.06129937174476724,0.5961033605081982,0.44988821388405925,0.8289673187500882,0.9912742572913608,poisson,0,0.17325017325017325,1.4142135623730951,0.05803880803880804,0.17325017325017325,1,0.05803880803880804,0.05803880803880804,0.17325017325017325,250,0.665447950363159,0.0250225067138672,95.7486166954041,0.232401371002197,91.54368894974507,18.75591283222477,60.692957700874494,122.39442019861565,90.9090909090909,19.192678651336276,59.339943818526336,122.47823799965548,1,1,1,206998667
84.05425536921493,10.35672349113693,67.01896117148483,101.08954956694502,82,0.013716335619226113,0.03245299856777183,1.0462090807808277,0.036115196569054764,0.030879019334388712,0.6697672064742131,0.5033167266028366,1.0387777326474363,0.9605621677891089,poisson,0,0.17325017325017325,1.4142135623730951,0.05803880803880804,0.17325017325017325,1,0.05803880803880804,0.05803880803880804,0.17325017325017325,500,0.688288450241089,0.0246336460113525,58.7108414173126,0.623844146728516,82.84368091816835,9.27380125685234,67.58963528520765,98.09772655112904,83.01886792452831,10.238749731125923,66.17762329383743,99.86011255521919,1,1,1,206998667
148.25666421664002,15.866973992591209,122.15781449618169,174.35551393709835,138,3.3559379050387993e-6,9.245698741465367e-5,5.610119863462958,0.001967861757437637,1.1964472629964722e-5,0.18372658480583687,0.0020737481418555367,2.274140974588291,1.3883059324542835,poisson,0,0,1e-10,0,0,1e-10,0,0.693000693000693,0,250,0.678545236587524,0.0321736335754395,64.4681961536407,0.166228294372559,183.86722656062497,35.025753362633864,126.25498910538892,241.47946401586103,177.27272727272728,36.257149276684494,117.63502378205183,236.91043076340273,1,1,1,206998667
133.23611585431544,11.07777325440265,115.01480033826522,151.45743137036567,138,2.655342595927127e-5,1.7126891245070568e-4,4.368692957853846,0.0017156321986222553,1.3868322330940527e-4,0.2955094948526713,0.0031400650231755457,2.247302248630578,1.275114334828772,poisson,0,0,1e-10,0,0,1e-10,0,0.693000693000693,0,500,0.480015754699707,0.0219924449920654,56.1071827411652,0.558547019958496,137.73584905660377,14.800662690205067,113.39092534933462,162.08077276387291,137.73584905660377,14.800662690205057,113.39092534933464,162.0807727638729,1,1,1,206998667
115.01602827289645,21.469489962969234,79.70185983850826,150.33019670728464,93,2.885804294986343e-4,0.0013155707968640785,1.3901142145948708,7.86243567677873e-6,1.661268751867382e-4,0.06946434979873677,0.7335197160869076,1.216448157381169,1.235932221602319,poisson,0,0,1.4142135623730951,0,0,1e-10,0,0.17325017325017325,0.5197505197505198,250,0.6389479637146,0.0248649120330811,145.14443063736,0.238632440567017,113.26547094712416,19.69492185675834,80.87020729850937,145.66073459573894,113.63636363636364,21.970517972419024,77.49807746342769,149.7746498092996,1,1,1,206998667
96.69578492324698,11.659379716197883,77.51781190905446,115.87375793743949,93,2.3745835552158108e-4,0.0034050166521246384,0.9951627633340916,6.148996817287674e-5,0.00328456542578408,0.11441866938002583,0.7353641015397729,1.2836446923467355,1.1679434584921171,poisson,0,0,1.4142135623730951,0,0,1e-10,0,0.17325017325017325,0.5197505197505198,500,0.574537515640259,0.0194656848907471,80.3649272918701,0.568619012832642,95.69002446909514,9.485545918076435,80.08768986213238,111.29235907605789,94.33962264150944,10.675682912939992,76.77968688197623,111.89955840104264,1,1,1,206998667
119.13495340152565,16.833508104139504,91.44629654211478,146.82361026093653,89,4.974805615241752e-5,2.3874920819512936e-4,4.461891754656323,3.6458059823405505e-4,4.7342968082825243e-4,0.5206797302951385,0.4065816842811763,0.8287838410418562,0.971270181068247,poisson,0,0,1.4142135623730951,0,0,1e-10,0.5197505197505198,0.08662508662508663,0.08662508662508663,250,0.813570499420166,0.0284543037414551,106.812752723694,0.16789984703064,117.80185462816398,18.013055062304613,88.17301567645565,147.4306935798723,113.63636363636364,21.188143529109706,78.78496890413916,148.48775836858812,0,1,1,206998667
91.06021336116703,9.272459263001698,75.8083751116589,106.31205161067516,89,6.54941984000071e-5,1.435447897426981e-4,3.70237430297255,0.0019920352421659913,0.007299422364885676,0.2454388742473064,0.3430476645241462,0.932497722637227,0.9349579753904959,poisson,0,0,1.4142135623730951,0,0,1e-10,0.5197505197505198,0.08662508662508663,0.08662508662508663,500,0.485139131546021,0.019667387008667,64.1607751846313,0.565830945968628,89.25273236613091,8.536034672924087,75.2122047745882,103.29325995767363,90.56603773584906,9.818435513449064,74.41614847056323,106.7159270011349,1,1,1,206998667
